Process_Noise,Mean,Std,Var,Time
5.000000000000000000e-01;2.943109119172356181e+00;2.756781887947110654e+00;7.599846377713236123e+00
1.000000000000000000e+00;3.630219819892285038e+00;2.987387922743230728e+00;8.924486600952114657e+00
1.500000000000000000e+00;4.129277315957089023e+00;2.334932389431126243e+00;5.451909263214548496e+00
2.000000000000000000e+00;4.674307745881195686e+00;2.398926087349823710e+00;5.754846372567533841e+00
2.500000000000000000e+00;5.224506849346567172e+00;2.605729063873932549e+00;6.789823954317320442e+00
3.000000000000000000e+00;5.710354707260743901e+00;2.738372995064071169e+00;7.498686660096171686e+00
3.500000000000000000e+00;6.238645123594779740e+00;2.911879361320061754e+00;8.479041414881731242e+00
4.000000000000000000e+00;6.636171059725896271e+00;3.048272038669259221e+00;9.291962421732842259e+00
4.500000000000000000e+00;7.015322757897139105e+00;3.179302207223346333e+00;1.010796252485524249e+01
5.000000000000000000e+00;7.480079006673061137e+00;3.312345264670718326e+00;1.097163115238653042e+01
5.500000000000000000e+00;7.912461524865912033e+00;3.484438762590289063e+00;1.214131349024174433e+01
6.000000000000000000e+00;8.277999600847760320e+00;3.651496397509296887e+00;1.333342594102337308e+01
6.500000000000000000e+00;8.644655434106851999e+00;3.740723259571649528e+00;1.399301050470034724e+01
7.000000000000000000e+00;8.944492566026905678e+00;3.915666516448525147e+00;1.533244426803612726e+01
7.500000000000000000e+00;9.326194062738625945e+00;3.980246925218946963e+00;1.584236558571488196e+01
8.000000000000000000e+00;9.550213094563220650e+00;4.145620662845783677e+00;1.718617068021391603e+01
8.500000000000000000e+00;9.866302690677228426e+00;4.277554057169487223e+00;1.829746871200714153e+01
9.000000000000000000e+00;1.012045005516617735e+01;4.432919176760091950e+00;1.965077242768737165e+01
9.500000000000000000e+00;1.032720439050719641e+01;4.459267694393378889e+00;1.988506837026044138e+01
1.000000000000000000e+01;1.070224569248369129e+01;4.618098997452443122e+00;2.132683835027125951e+01
1.050000000000000000e+01;1.093743859912619598e+01;4.703336119246689151e+00;2.212137065061050478e+01
1.100000000000000000e+01;1.109172479090192631e+01;4.780672843777947101e+00;2.285483283923592523e+01
